timestamp,symbol,open,high,low,price,volume,latest_trading_day,previous_close,change,change_percent
2025-02-12T07:16:03.966284,IBM,251.1,256.75,250.58,254.7,4801550,2025-02-11,249.27,5.43,2.1784%
2025-02-12T07:16:04.025076,TSLA,345.8,349.37,325.1,328.5,116725895,2025-02-11,350.73,-22.23,-6.3382%
2025-02-12T07:16:04.075588,AMZN,231.92,233.44,230.13,232.76,23713726,2025-02-11,233.14,-0.38,-0.1630%
2025-02-12T07:16:04.136548,META,713.32,723.66,710.04,719.8,12997959,2025-02-11,717.4,2.4,0.3345%
2025-02-12T07:16:04.225205,ORCL,177.62,179.12,176.45,177.19,6528766,2025-02-11,178.92,-1.73,-0.9669%
2025-02-12T07:16:04.273446,KO,67.5,67.67,66.41,67.6,30589148,2025-02-11,64.55,3.05,4.7250%
2025-02-12T08:22:25.433917,AAPL,228.2,235.23,228.13,232.62,53718362,2025-02-11,227.65,4.97,2.1832%
2025-02-12T08:22:25.540243,MSFT,409.64,412.49,409.3,411.44,18140592,2025-02-11,412.22,-0.78,-0.1892%
2025-02-12T08:22:25.647832,GOOG,186.835,188.8,186.08,187.07,13028100,2025-02-11,188.2,-1.13,-0.6004%
2025-02-12T08:22:25.748535,NVDA,132.58,134.48,131.02,132.8,178902379,2025-02-11,133.57,-0.77,-0.5765%
2025-02-12T08:22:25.847478,IBM,251.1,256.75,250.58,254.7,4801550,2025-02-11,249.27,5.43,2.1784%
2025-02-12T08:22:25.942803,TSLA,345.8,349.37,325.1,328.5,116725895,2025-02-11,350.73,-22.23,-6.3382%
2025-02-12T08:22:26.066383,AMZN,231.92,233.44,230.13,232.76,23713726,2025-02-11,233.14,-0.38,-0.1630%
2025-02-12T08:22:26.165925,META,713.32,723.66,710.04,719.8,12997959,2025-02-11,717.4,2.4,0.3345%
2025-02-12T08:22:26.273558,ORCL,177.62,179.12,176.45,177.19,6528766,2025-02-11,178.92,-1.73,-0.9669%
2025-02-12T08:22:26.372077,KO,67.5,67.67,66.41,67.6,30589148,2025-02-11,64.55,3.05,4.7250%
2025-02-12T09:18:16.692263,AAPL,228.2,235.23,228.13,232.62,53718362,2025-02-11,227.65,4.97,2.1832%
2025-02-12T09:18:16.730349,MSFT,409.64,412.49,409.3,411.44,18140592,2025-02-11,412.22,-0.78,-0.1892%
2025-02-12T09:18:16.772070,GOOG,186.835,188.8,186.08,187.07,13028100,2025-02-11,188.2,-1.13,-0.6004%
2025-02-12T09:18:16.808551,NVDA,132.58,134.48,131.02,132.8,178902379,2025-02-11,133.57,-0.77,-0.5765%
2025-02-12T09:18:16.845149,IBM,251.1,256.75,250.58,254.7,4801550,2025-02-11,249.27,5.43,2.1784%
2025-02-12T09:18:16.916808,TSLA,345.8,349.37,325.1,328.5,116725895,2025-02-11,350.73,-22.23,-6.3382%
2025-02-12T09:18:16.955369,AMZN,231.92,233.44,230.13,232.76,23713726,2025-02-11,233.14,-0.38,-0.1630%
2025-02-12T09:18:16.994227,META,713.32,723.66,710.04,719.8,12997959,2025-02-11,717.4,2.4,0.3345%
2025-02-12T09:18:17.030688,ORCL,177.62,179.12,176.45,177.19,6528766,2025-02-11,178.92,-1.73,-0.9669%
2025-02-12T09:18:17.069144,KO,67.5,67.67,66.41,67.6,30589148,2025-02-11,64.55,3.05,4.7250%
2025-02-12T10:18:03.436183,AAPL,228.2,235.23,228.13,232.62,53718362,2025-02-11,227.65,4.97,2.1832%
2025-02-12T10:18:03.687999,MSFT,409.64,412.49,409.3,411.44,18140592,2025-02-11,412.22,-0.78,-0.1892%
2025-02-12T10:18:03.796583,GOOG,186.835,188.8,186.08,187.07,13028100,2025-02-11,188.2,-1.13,-0.6004%
2025-02-12T10:18:03.957168,NVDA,132.58,134.48,131.02,132.8,178902379,2025-02-11,133.57,-0.77,-0.5765%
2025-02-12T10:18:04.254811,IBM,251.1,256.75,250.58,254.7,4801550,2025-02-11,249.27,5.43,2.1784%
2025-02-12T10:18:04.543183,TSLA,345.8,349.37,325.1,328.5,116725895,2025-02-11,350.73,-22.23,-6.3382%
2025-02-12T10:18:04.798017,AMZN,231.92,233.44,230.13,232.76,23713726,2025-02-11,233.14,-0.38,-0.1630%
2025-02-12T10:18:04.915318,META,713.32,723.66,710.04,719.8,12997959,2025-02-11,717.4,2.4,0.3345%
2025-02-12T10:18:05.233647,ORCL,177.62,179.12,176.45,177.19,6528766,2025-02-11,178.92,-1.73,-0.9669%
2025-02-12T10:18:05.337894,KO,67.5,67.67,66.41,67.6,30589148,2025-02-11,64.55,3.05,4.7250%
2025-02-12T11:14:23.826870,AAPL,228.2,235.23,228.13,232.62,53718362,2025-02-11,227.65,4.97,2.1832%
